City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Arraial Do Cabo,BR,87.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
14,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
15,Vao,NC,79.52,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
16,Cape Town,ZA,89.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
21,Dois Corregos,BR,76.35,overcast clouds,-22.3661,-48.3803,Hotel Pousada Aquino Paraiso
26,Narasannapeta,IN,71.55,broken clouds,18.4167,84.05,G.lingaraju home
27,Rikitea,PF,78.66,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Atar,MR,89.69,clear sky,20.5169,-13.0499,Oumou Elghoura
34,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Castro,BR,74.12,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
45,Port Alfred,ZA,79.41,clear sky,-33.5906,26.891,The Halyards Hotel
46,Hualmay,PE,71.28,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
53,Atuona,PF,78.31,few clouds,-9.8,-139.0333,Villa Enata
55,Lubango,AO,76.57,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
56,Hermanus,ZA,88.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
60,Caravelas,BR,86.5,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
64,Kerema,PG,77.63,overcast clouds,-7.9631,145.7785,Frena Lodge
74,Papar,MY,78.8,light rain,5.7333,115.9333,Koposizon Homestay
76,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
77,Kapaa,US,71.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Isangel,VU,79.25,overcast clouds,-19.55,169.2667,Tanna Lodge
82,Acapulco,MX,73.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
86,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
87,East London,ZA,79.0,clear sky,-33.0153,27.9116,Tu Casa
89,Huarmey,PE,72.03,broken clouds,-10.0681,-78.1522,Hotel Miramar
90,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
98,Celestun,MX,72.45,scattered clouds,20.8667,-90.4,Posada Lilia
105,Bonthe,SL,88.03,clear sky,7.5264,-12.505,Bonthe Holiday Village
106,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
107,Pozo Colorado,PY,86.23,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
109,Saint-Marc,HT,77.05,clear sky,19.1082,-72.6938,Maguana Hotel
111,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
114,Bredasdorp,ZA,81.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
115,Namibe,AO,81.23,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
118,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
119,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
120,Tres Picos,MX,70.48,scattered clouds,15.8667,-93.5333,Tres picos Chiapas
122,Carazinho,BR,74.03,clear sky,-28.2839,-52.7864,San Remo Hotel
123,Grand Gaube,MU,82.8,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
124,Poum,NC,79.07,very heavy rain,-20.2333,164.0167,
125,Lorengau,PG,81.55,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
129,Sola,VU,81.36,overcast clouds,-13.8833,167.55,Leumerus Bungalows
133,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
138,Acarau,BR,86.16,scattered clouds,-2.8856,-40.12,castelo pizzaria
143,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
145,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
146,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
153,Palauig,PH,77.97,scattered clouds,15.435,119.9045,Alperi Botique Resort
154,Mwense,ZM,73.47,light rain,-10.3845,28.698,Mwense Council Guest House
156,Thinadhoo,MV,82.74,few clouds,0.5333,72.9333,
163,Bengkulu,ID,78.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,Hithadhoo,MV,82.89,scattered clouds,-0.6,73.0833,Scoop Guest House
170,Itarana,BR,82.45,few clouds,-19.8739,-40.8753,Hotel Aline
173,Vanimo,PG,79.02,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
177,Arlit,NE,83.14,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
179,Umm Lajj,SA,74.68,clear sky,25.0213,37.2685,Moon light Furnished Units
181,Karratha,AU,84.69,few clouds,-20.7377,116.8463,ibis Styles Karratha
184,Port Shepstone,ZA,76.17,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
185,Rio Grande,BR,71.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
187,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
189,Djibo,BF,88.63,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
190,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
191,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
197,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
199,Odweyne,SO,80.35,broken clouds,9.4092,45.064,Eng Hiirey House
203,Nhulunbuy,AU,75.81,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
204,Sainte-Marie,RE,84.36,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
205,Anloga,GH,89.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
206,Mana,GF,81.9,overcast clouds,5.6592,-53.7767,LE SAMANA
212,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
213,San Policarpo,PH,80.71,few clouds,12.1791,125.5072,Agapita M. Nicart
215,Clarence Town,AU,71.85,light rain,-32.5833,151.7833,River Downs Cottage
220,Vidisha,IN,70.93,clear sky,23.5333,77.8167,STARiHOTELS Railway station Vidisha
222,Rawson,AR,70.25,clear sky,-43.3002,-65.1023,Hosteria Sampedro
226,Port Lincoln,AU,71.08,clear sky,-34.7333,135.8667,Port Lincoln Hotel
229,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
230,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
233,Ca Mau,VN,79.99,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
235,Reconquista,AR,77.41,clear sky,-29.15,-59.65,Grand Hotel
238,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
239,Marsh Harbour,BS,73.71,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
243,Diamantino,BR,82.33,overcast clouds,-14.4086,-56.4461,Hotel Delta
244,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
245,Jaicos,BR,89.85,scattered clouds,-7.3592,-41.1378,Hotel Jaicós
251,Sumbe,AO,81.34,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
252,Kumbo,CM,81.16,clear sky,6.2,10.6667,Western Inn Resort
