City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talaya,RU,61.3833,152.75,-35.05,89,9,2.55,clear sky
1,Udachnyy,RU,66.4167,112.4,-13.83,100,99,3.22,overcast clouds
2,Jamestown,US,42.097,-79.2353,17.19,65,0,1.99,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,5.75,light rain
4,Albany,US,42.6001,-73.9662,9.18,72,18,3.65,few clouds
5,Yining,CN,29.0361,114.5636,36.93,91,100,2.17,light rain
6,Tairua,NZ,-37.0167,175.85,63.09,99,100,11.56,light rain
7,Ushuaia,AR,-54.8,-68.3,51.46,66,0,4.61,clear sky
8,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,58,0,17.27,clear sky
9,Verkhoyansk,RU,67.5447,133.385,-39.66,99,99,1.1,overcast clouds
10,Calama,CL,-22.4667,-68.9333,61.29,17,0,16.11,clear sky
11,Luderitz,NA,-26.6481,15.1594,72.95,71,19,13.31,few clouds
12,Tucuru,GT,15.3,-90.0667,66.24,98,100,2.04,overcast clouds
13,The Valley,AI,18.217,-63.0578,77.14,78,75,13.8,broken clouds
14,Vaini,TO,-21.2,-175.2,77.16,94,100,16.11,light rain
15,Vao,NC,-22.6667,167.4833,79.52,87,81,4.61,broken clouds
16,Cape Town,ZA,-33.9258,18.4232,89.11,50,0,17.27,clear sky
17,Geraldton,AU,-28.7667,114.6,72.01,53,100,19.57,overcast clouds
18,Burnie,AU,-41.0667,145.9167,58.95,87,27,10.16,scattered clouds
19,Ostrovnoy,RU,68.0531,39.5131,14.76,83,100,21.99,overcast clouds
20,Talnakh,RU,69.4865,88.3972,-25.87,99,52,1.45,broken clouds
21,Dois Corregos,BR,-22.3661,-48.3803,76.35,82,95,9.35,overcast clouds
22,Saint George,US,37.1041,-113.5841,42.35,51,0,4.61,clear sky
23,Upernavik,GL,72.7868,-56.1549,-5.89,94,100,4.25,overcast clouds
24,La Ronge,CA,55.1001,-105.2842,-9.15,77,0,5.75,clear sky
25,Port Elizabeth,ZA,-33.918,25.5701,95.09,78,0,27.63,clear sky
26,Narasannapeta,IN,18.4167,84.05,71.55,63,51,5.48,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,78.66,73,100,17.18,overcast clouds
28,Thompson,CA,55.7435,-97.8558,-36.24,67,40,0.0,scattered clouds
29,Asyut,EG,27.181,31.1837,67.48,28,0,12.17,clear sky
30,Atar,MR,20.5169,-13.0499,89.69,5,0,6.89,clear sky
31,Mandalgovi,MN,45.7625,106.2708,5.76,71,0,5.59,clear sky
32,Tigzirt,DZ,36.8886,4.1198,59.36,68,15,12.35,few clouds
33,Dunedin,NZ,-45.8742,170.5036,48.79,78,43,2.39,scattered clouds
34,Mahebourg,MU,-20.4081,57.7,82.69,74,75,17.27,broken clouds
35,Chuy,UY,-33.6971,-53.4616,60.26,92,100,9.66,overcast clouds
36,Nantucket,US,41.2835,-70.0995,26.71,68,100,12.66,overcast clouds
37,Sobolevo,RU,54.4299,31.8996,30.51,91,100,9.89,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,-26.25,100,98,1.57,overcast clouds
39,Saint-Francois,FR,46.4154,3.9054,46.67,70,0,11.5,clear sky
40,Khatanga,RU,71.9667,102.5,-22.56,98,91,7.74,overcast clouds
41,Bukachacha,RU,52.9833,116.9167,-8.81,100,85,1.14,overcast clouds
42,Yellowknife,CA,62.456,-114.3525,-13.59,83,20,12.66,few clouds
43,Castro,BR,-24.7911,-50.0119,74.12,75,82,7.47,broken clouds
44,New Norfolk,AU,-42.7826,147.0587,53.65,59,70,0.67,broken clouds
45,Port Alfred,ZA,-33.5906,26.891,79.41,73,0,31.81,clear sky
46,Hualmay,PE,-11.0964,-77.6139,71.28,77,94,5.86,overcast clouds
47,Kruisfontein,ZA,-34.0033,24.7314,92.88,43,98,20.04,overcast clouds
48,Bondoukou,CI,8.0333,-2.8,96.51,10,0,6.51,clear sky
49,Russell,US,32.3502,-85.1999,35.91,76,1,8.95,clear sky
50,Sitka,US,57.0531,-135.33,44.49,76,100,24.16,light rain
51,Hilo,US,19.7297,-155.09,68.79,91,100,5.75,light rain
52,Ribeira Grande,PT,38.5167,-28.7,64.8,72,40,9.22,scattered clouds
53,Atuona,PF,-9.8,-139.0333,78.31,75,15,20.51,few clouds
54,Clyde River,CA,70.4692,-68.5914,-37.97,60,0,0.0,clear sky
55,Lubango,AO,-14.9172,13.4925,76.57,29,77,8.21,broken clouds
56,Hermanus,ZA,-34.4187,19.2345,88.9,60,14,11.12,few clouds
57,Port Hardy,CA,50.6996,-127.4199,46.76,76,100,6.91,overcast clouds
58,Qaanaaq,GL,77.484,-69.3632,-11.97,67,93,8.66,overcast clouds
59,Mataura,NZ,-46.1927,168.8643,43.48,98,0,1.92,clear sky
60,Caravelas,BR,-17.7125,-39.2481,86.5,56,0,9.24,clear sky
61,Busselton,AU,-33.65,115.3333,56.08,77,65,15.21,light rain
62,Kodiak,US,57.79,-152.4072,38.71,70,20,9.22,few clouds
63,Hasaki,JP,35.7333,140.8333,27.0,38,0,18.84,clear sky
64,Kerema,PG,-7.9631,145.7785,77.63,86,100,4.12,overcast clouds
65,Warrington,GB,53.3925,-2.5802,48.33,76,75,13.0,broken clouds
66,Shitanjing,CN,39.2342,106.3439,18.41,60,100,5.84,overcast clouds
67,Vaasa,FI,63.096,21.6158,33.3,100,100,9.22,overcast clouds
68,Beringovskiy,RU,63.05,179.3167,-15.7,97,17,10.07,few clouds
69,Barrow,US,71.2906,-156.7887,-18.38,63,75,4.61,snow
70,Norman Wells,CA,65.282,-126.8329,-16.56,69,75,5.75,broken clouds
71,Kushiro,JP,42.975,144.3747,18.43,76,56,7.02,broken clouds
72,Ushtobe,KZ,45.2514,77.9838,19.17,86,7,2.53,clear sky
73,Goulburn,AU,-34.75,149.7167,55.65,97,71,7.85,broken clouds
74,Papar,MY,5.7333,115.9333,78.8,87,100,3.09,light rain
