City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dakar,SN,2022-02-04 03:28:24,14.6937,-17.4441,70.68,83,0,2.3
1,Padang,ID,2022-02-04 03:29:55,-0.9492,100.3543,84.25,70,92,2.55
2,Eyrarbakki,IS,2022-02-04 03:32:29,63.863,-21.1481,28.45,74,38,24.49
3,Jalu,LY,2022-02-04 03:32:29,29.0331,21.5482,49.32,63,6,12.06
4,Vaini,TO,2022-02-04 03:32:29,-21.2,-175.2,86.16,79,75,10.36
5,Ushuaia,AR,2022-02-04 03:31:14,-54.8,-68.3,42.46,70,75,18.41
6,Avera,US,2022-02-04 03:32:30,33.194,-82.5271,69.75,78,100,15.39
7,Atuona,PF,2022-02-04 03:32:30,-9.8,-139.0333,78.96,71,3,17.87
8,Punta Arenas,CL,2022-02-04 03:28:56,-53.15,-70.9167,42.91,61,75,10.36
9,Rikitea,PF,2022-02-04 03:32:31,-23.1203,-134.9692,78.22,74,100,17.02
10,Avarua,CK,2022-02-04 03:32:31,-21.2078,-159.775,82.45,78,75,16.11
11,Abomsa,ET,2022-02-04 03:32:32,9.9833,39.9833,63.1,43,38,3.65
12,Cape Town,ZA,2022-02-04 03:28:28,-33.9258,18.4232,62.28,72,0,4.0
13,Albany,US,2022-02-04 03:30:09,42.6001,-73.9662,38.32,91,100,3.0
14,Wanning,CN,2022-02-04 03:32:32,18.8003,110.3967,66.63,85,100,12.19
15,Cloquet,US,2022-02-04 03:32:33,46.7216,-92.4594,0.37,67,40,0.0
16,Mogadishu,SO,2022-02-04 03:27:45,2.0371,45.3438,74.98,80,8,18.16
17,Barra Patuca,HN,2022-02-04 03:32:33,15.8,-84.2833,75.49,87,3,9.01
18,Kahului,US,2022-02-04 03:32:34,20.8947,-156.47,79.86,65,0,17.27
19,Whitehorse,CA,2022-02-04 03:32:33,60.7161,-135.0538,-6.83,77,100,4.61
20,Mar Del Plata,AR,2022-02-04 03:32:34,-38.0023,-57.5575,69.1,94,95,0.0
21,New Norfolk,AU,2022-02-04 03:32:35,-42.7826,147.0587,73.76,35,3,3.0
22,Port Lincoln,AU,2022-02-04 03:32:35,-34.7333,135.8667,68.34,55,37,14.23
23,Nouadhibou,MR,2022-02-04 03:32:35,20.931,-17.0347,69.78,37,21,9.22
24,Forestville,US,2022-02-04 03:32:36,38.8451,-76.875,59.25,89,100,20.71
25,Qaanaaq,GL,2022-02-04 03:29:06,77.484,-69.3632,-13.45,56,99,8.46
26,Meulaboh,ID,2022-02-04 03:32:36,4.1363,96.1285,84.0,65,87,3.04
27,Bluff,NZ,2022-02-04 03:32:36,-46.6,168.3333,52.81,84,100,5.46
28,Linxia,CN,2022-02-04 03:32:37,35.6003,103.2064,22.05,66,85,2.48
29,East London,ZA,2022-02-04 03:32:37,-33.0153,27.9116,67.14,82,0,10.36
30,Bredasdorp,ZA,2022-02-04 03:32:38,-34.5322,20.0403,58.32,77,100,3.44
31,Tautira,PF,2022-02-04 03:32:38,-17.7333,-149.15,86.02,77,44,15.05
32,Jamestown,US,2022-02-04 03:30:05,42.097,-79.2353,22.08,69,100,8.99
33,Kavieng,PG,2022-02-04 03:30:12,-2.5744,150.7967,83.73,71,64,6.93
34,Adrar,MR,2022-02-04 03:32:39,20.5022,-10.0711,59.36,22,0,9.95
35,Verkhnevilyuysk,RU,2022-02-04 03:32:39,63.4453,120.3167,-14.98,95,63,3.24
36,Simao,CN,2022-02-04 03:32:40,22.7886,100.9748,68.27,31,0,3.22
37,Cabo San Lucas,MX,2022-02-04 03:28:31,22.8909,-109.9124,67.51,58,20,8.05
38,Victoria,HK,2022-02-04 03:31:53,22.2855,114.1577,58.32,76,63,3.0
39,Ribeira Grande,PT,2022-02-04 03:32:40,38.5167,-28.7,58.44,75,100,18.05
40,Hemnesberget,NO,2022-02-04 03:32:41,66.2333,13.6333,24.67,90,100,16.08
41,Impfondo,CG,2022-02-04 03:32:41,1.6381,18.0667,66.04,60,90,2.24
42,Vao,NC,2022-02-04 03:31:26,-22.6667,167.4833,75.29,92,100,3.94
43,Busselton,AU,2022-02-04 03:29:06,-33.65,115.3333,101.05,33,57,15.95
44,Arraial Do Cabo,BR,2022-02-04 03:32:42,-22.9661,-42.0278,75.45,91,100,7.83
45,Butaritari,KI,2022-02-04 03:33:42,3.0707,172.7902,81.79,77,17,15.19
46,Rosarito,MX,2022-02-04 03:30:47,32.3333,-117.0333,57.09,31,0,4.83
47,Roros,NO,2022-02-04 03:33:43,62.5747,11.3842,24.64,80,100,18.41
48,Tiksi,RU,2022-02-04 03:33:36,71.6872,128.8694,-11.81,100,100,6.02
49,Belmopan,BZ,2022-02-04 03:33:43,17.25,-88.7667,77.31,99,9,3.02
